Course Title,Course Description
"HL101X - Examensarbete inom medicinsk teknik, grundnivå","<p>The purpose of the degree project is that the student shall apply and deepen his/her knowledge, understanding, abilities, and approaches within the context of the education. The degree project shall be carried out towards the conclusion of the education and imply a specialised study and synthesis of earlier acquired knowledge.</p><p>After completing the degree project, the student shall demonstrate the knowledge and skills required to work independently as a graduate engineer according to the national goals for an engineer in the Higher Education Ordinance. These include:</p><p><strong>Knowledge and understanding</strong></p><p>The student shall:</p><ul><li> <p>demonstrate knowledge of the disciplinary basis of the engineering field chosen and its best practice as well as awareness of current research and development work, and</p></li><li>demonstrate a broad knowledge in the chosen engineering field and relevant knowledge of mathematics and the natural sciences.</li></ul><p><strong>Skills and abilities</strong></p><p>The student shall:</p><ul><li> <p>demonstrate the ability to, independently and creatively, identify, formulate and deal with issues and to analyse and evaluate different technological solutions</p></li><li> <p>demonstrate the ability to use knowledge, critically and systematically, to model, simulate, predict and evaluate series of events on the basis of relevant information</p></li><li> <p>demonstrate the ability to plan and with appropriate methods undertake tasks within predetermined parameters</p></li><li> <p>demonstrate the ability to design and manage products, processes and systems while taking into account the circumstances and needs of individuals and the targets for economically, socially and ecologically sustainable development set by the community,</p></li><li> <p>demonstrate the capacity for teamwork and collaboration with various constellations, and</p></li><li>demonstrate the ability to present and discuss information, problems and solutions in speech and writing and in dialogue with different audiences.</li></ul><p><strong>Judgement and approach</strong></p><p>The student shall:</p><ul><li> <p>demonstrate the ability to make assessments informed by relevant disciplinary, social and ethical aspects</p></li><li> <p>demonstrate an understanding in and insight into the possibilities and limitations of technology, its role in the society and the responsibility of the individual for how it is used, including social and economic aspects as well as environmental and occupational health and safety aspects and working environment aspects, and</p></li><li> <p>demonstrate the ability to identify the need for further knowledge and undertake ongoing development of his or her skills.</p></li></ul> <p>The degree project, an independent activity, completes the degree programme. The work can be carried out at a department within the home higher education institution, in industry or at another higher education institution/university in Sweden or abroad.</p><p>The degree project is carried out in pairs with another student or, in exceptional cases, individually. If the degree project is carried out in pairs with another student, it is important that each individual's contributions can clearly be distinguished so fair grading can be made.</p><p>Before the degree project course starts, the student shall identify an appropriate degree project task and formulate a project proposal that can be presented to the examiner for approval. The assignment must be chosen so that it implies a natural progression of the knowledge and skills that have been acquired within the education.</p><p>After the project proposal has been passed, the student designs an individual plan for the degree project where knowledge and methods from the education are applied, whereupon the work is started.</p><p>The work must build on a scientific foundation and engineering experiences and contain examples of investigation and analysis. Practical construction work can be part of the work and shall mainly intend to verify set models and theories for solving the assignment, as well as be an application of the chosen scientific and engineering methodology.</p><p>The student completes the course with an oral presentation and defence of his work and a critical review on the degree project of another student and a self-assessment.</p><p>The language of instruction is Swedish or English.</p><p>The report, with appendices, can be written in Swedish or English. Title and summary are always stated in both languages.</p><p><strong>Learning activities</strong></p><p>Before the degree project course is started, the student should have identified an appropriate degree project task and formulated a project proposal so that this can be presented to the examiner for approval. The assignment must be chosen, so that it implies a natural progression of the knowledge and skills that have been acquired within the education.</p><p>The student should write an individual plan for the degree project in which the problem description/assignment and the preconditions for the implementation of the work should be specified. The individual plan for the degree project should include a background including a problem description and scientific aspects/question formulations, purpose(s), goals, limitations, relevance of the project, methods and a time schedule for the implementation of the degree project. The individual plan shall also include a brief self-reflection where the student accounts for her/his knowledge to carry out the assignment and the planning for how any remaining courses, that are required for higher education qualification, shall be completed. The individual plan for the degree project shall be approved by the examiner.</p><p>The student shall carry out a specialised pilot study including discussion of method choice and theoretical background with a literature study, that is reported as part of a draft to a preliminary version of the written degree project report.</p><p>The student shall carry out an individual independent project, where knowledge and methods from the education are applied.</p><p>The student should write and present a written degree project report, where the student clearly accounts for and discusses his or her conclusions in the degree project and the knowledge and the arguments that underspin them.</p><p>The student should plan and carry out an oral presentation and defence of his or her degree project.</p><p>The student should carry out an oral and written review of another degree project at the same level.</p><p>The student carries out a self-assessment of the degree project according to the model for assessing quality of degree project for engineers.</p> <p>The course is presented as a 15 credit course.</p><p>In the examination part, the following is included:</p><ul><li> <p>Individual plan for degree project</p></li><li> <p>Pre-study, literature study and discussion of method choices</p></li><li> <p>Oral presentation</p></li><li> <p>Written and oral opposition of another student's degree project for first-cycle studies</p></li><li> <p>Written report with title and summary/abstract both in Swedish and English</p></li><li> <p>Self evaluation report</p><p><strong>Time limit</strong></p><p>Requirements according to KTH's regulatory framework for degree projects and all examination parts as mentioned above shall be approved within a year from the starting date of the degree project. Otherwise, the degree project will be ended with a failed grade, unless special circumstances apply.</p></li></ul>"
AG2927 - Geodatakvalitet och felteori,"<p>After the course, the student should</p><ul><li>understand different quality aspects of geodata and its importance for GIS-applications</li><li>be able to evaluate geodatabases and design appropriate measures for quality assurance actions</li><li>be familiar with measurement error and computation of error propagation</li><li>be able to apply the least squares method to adjust measurement data</li></ul> <ul><li>Different quality aspects in geodata</li><li>Quality assurance actions</li><li>Quality of measurement data: precision, precision and reliability</li><li>Measurement error and the law of error propagation</li><li>Error ellipse and error ellipsoid</li><li>The least-squares method</li><li>Condition adjustment</li><li>Adjustment elements</li><li>Generalised matrix inverses and free network adjustment</li><li>Gross error detection, local redundancy and reliability</li></ul> "
DH2413 - Avancerad grafik och interaktion,"<p>The students should after the course be able to</p><ul><li>explain concepts and use methods within within areas such as local and global illuminations methods, texturing techniques, perceptual aspects relevant for graphics,</li><li>use modelling software such as Maya to build a model using a hand drawn sketch,</li><li>use a software/API such as OpenGL to import an object from modelling software and then further elaborate the scene with special effects,</li><li>write a survey paper within a limited area of computer graphics by using scientific papers from sources such as the SIGGRAPH conference,</li><li>build a simple deeping application within a limited area of computer graphics,</li><li>use established methods in advanced graphics and interaction,</li><li>take an active part in the development of new methods in advanced graphics and interaction.</li></ul> <p>Animation: Different methods to describe animation, object orientation and constraints for animation, tools to build animation, morphing.</p><p>Rendering: mapping techniques, photorealistic rendering, photon mapping radiosity, fractal methods.</p><p>3D interaction, virtual environments (VR) and visualization: different models for 3D interaction, hardware for 3D and VR, possibilities and limitations for VR, methods, tools. Visualization.</p><p>Multimodal interfaces: several modes in interaction, sound interfaces, haptics.</p><p>Perception: the human visual system, colour, perceptual graphics.</p><p>Assignments: VR, haptics, animation, rendering. Final task according to the student’s own choice.</p><p>Furthermore deepening assignment according to your own choice within computer graphics.</p> "
"AF162X - Examensarbete inom jord- och bergmekanik, grundnivå","<p>After completed degree project, the student should be able to</p><p>Show knowledge of the disciplinary foundation of the chosen subject area, applicable methods and orientation in current research and development as well as show advanced knowledge within some part of the subject area.</p><p>Demonstrate the ability to search, collect and use relevant information critically and identify the need for additional knowledge.</p><p>Demonstrate the ability to formulate, assess and handle problems and critically discuss phenomena, issues and situations.</p><p>Demonstrate the ability to plan, and with applicable methods, carry out assignments within given time frames.</p><p>After dialogue with different groups demonstrate the ability to orally and in writing account for and discuss information, problems and solutions.</p><p>Demonstrate the ability to exercise judgement considering relevant scientific, social and ethical aspects.</p><p>show a level of proficiency that is required to independently work within some part of the main technical field.</p><p>Demonstrate an understanding of the significance of a sustainable development within the subject area.</p> <p>The degree project should constitute a specialised study in the main field for first-cycle studies to satisfy the requirements for higher education qualification. The course is designed as a limited project of independent nature in soil and rock mechanics. </p> <p>The degree project should normally be carried out under the last semester of the programme. To pass the degree project, the performance must not be unsatisfactory in any of the expected learning outcomes of the course.</p>"
"ID2203 - Distribuerade system, fortsättningskurs","<p>The course complements Distributed Systems, Basic Course, and prepares the students for M.Sc projects, and Ph.D. studies in the area of distributed systems.</p><p>The main objective of this course is to provide the students with a solid foundation for understanding, analyzing and designing distributed algorithms for reliable distributed systems.</p><p>More specifically after the course is completed the student will:</p><ul><li>Know how to specify the properties of distributed algorithms, so called liveness and safety properties.</li><li>Explain the different models of distributed systems, including failure and timing models.</li><li>Master basic algorithms for failure detection, leader elections, broadcast and multicast, basic shared memory in distributed systems, agreement protocols, and group communication.</li><li>Practice in design and implementation of selected distributed algorithms in middleware designed for group communication.</li></ul> <p>Topics:</p><ul><li>Models of distributed algorithms</li><li>Event-based programming</li><li>Failure detectors and leader elections</li><li>Reliable broadcast and epdimic algorithms</li><li>Shared memory models</li><li>Consensus and agreement</li><li>Group communication and view synchrony</li><li>Stabilization algorithms</li><li>Impossibility proofs</li></ul> "
KF2480 - Bioraffinaderiets kemi,"<p>After completing the course, the student should be able to:</p><ul><li>Demonstrate understanding of mechanisms involved in pulping and biorefining techniques </li><li>Understand and predict how the hierarchic structure of plant fibers are affected during biorefinery processes </li><li>Understand the principles of characterization techniques and how they apply to generated substrates in biorefining</li><li>Demonstrate understanding of chemical and physical aspects of processes for production of cellulose- and lignin- derivatives, platform chemicals and other chemicals produced from plant biomass with consideration taken to a sustainable society</li><li>Demonstrate literature search capabilities, report writing and oral presentation capabilities </li></ul> <p>The course consists of lectures, a literature seminar and eventually laboratory work. The examination is done in combination with a written examination and a written and an oral presentations of the seminar task.</p><p>Lectures:<br />Chemical reactions during, mechanical fiber release, chemical reactions during chemical fiber release, chemical reactions during biomass pretreatments, chemical reaction during acid hydrolysis, , generation and storage of process chemicals, the biorefinery and the environment, and its chemical cycle, Platform chemicals and Material concepts.</p> "
BB2450 - Cellfabriken,"<p>On completion of the course (ILOs), the students should be able to:</p><ul><li>Describe and differentiate microorganisms and eukaryotic cellular systems, including mammalian cells, and their biochemical pathways.</li><li>Discuss with reference to scientific literature the challenges and potential opportunities in using genetically engineered cell factories for the production of biopharmaceuticals/biomolecules/chemicals/fuels at an industry scale.</li><li>Design a cell factory approach to the production of a given product, with reference to supporting scientific literature.</li><li>Design a cultivation process using mammalian cell system for the production of biologics fit for industrial purpose, i.e. robust and reproducible process using appropriate mammalian cell line and expression system, integrating scale-up constraints, Good Manufacturing Practice (GMP), and awareness of patient safety, as well as describe and discuss how such a process is developed</li><li>Design, evaluate, execute and present in written form an independent laboratory project report.</li></ul> <ul><li>Prokaryotic and eukaryotic cell structure, including plant and mammalian cells, and cellular compartment functions, including sub-cellular localization of specific metabolic pathways</li><li>Specific prokaryotic and eukaryotic pathways for the production of complex biomolecules, including cellulose, alginate, chitins, glycoproteins and fatty acids, etc.</li><li>Describe prokaryotic and eukaryotic cell factories, including special features of eukaryotic hosts, such as codon usage, post-translational modifications, protein folding, protein processing, of disulfide bond formation</li><li>Metabolic engineering of fungi and plant systems, including transformation system (e.g. plastid targeting, Agrobacterium)- emphasis on carbohydrate polymers, plasticizer, lipid-derivatives, and punctually on biofuel production</li><li>Exploitation on other cell factory systems, such as algal system, and their metabolic pathways for the bioproduction.</li><li>Describe new technologies in synthetic biology, and how this has impact in bioproduction </li><li>Cost-benefit analysis (including environmental and social economical impact) for the sustainable production in the pathways specific/certain types of organisms which the products have potential applications</li><li>Process of mammalian cell-based system (e.g. Chinese Hamster Ovary cells, HEK293) for the manufacturing of biologics Development of mammalian cell-based processes, fed-batch and perfusion, aimed at commercial production for the production of biopharmaceuticals including scale-up aspects, requirements of patient safety and compliance to regulatory constraints</li><li>Demonstration of fed-batch bioreactor process using Chinese Hamster Ovary cell for the production of monoclonal antibody</li></ul> <p>Two intermediate exams (KON1 ) cover the course content from Module 1-2. Each exam consists of 8-10 questions based on theoretical knowledge and concepts within the course.  To pass students need to possess basic knowledge and concepts within the course.</p><p>Lab Assignment, to pass student must be able to hand in the assignment on time and to demonstrate reasonable theoretical and practical knowledge in written form.  Peer review is required. </p><p>Final exam of BB2450 (TEN1) consists of two parts. TEN1 Part I consists of 5-7 basic questions, and TEN1 Part II consists of 8-12 more advanced questions. The questions from Part I cover the basic knowledge and concepts within the course. Part II questions are based more on the details of knowledge and applications, and students need to be able to demonstrate the understanding and interconnection the complex metabolic pathways, the methods to manipulate them for the bio-production, and the scaling up bioprocessing steps. The latter half of Part II includes particularly advanced questions. Advance knowledge within the content of the course is required for higher grades. </p>"
AI280U - Kvalificerad centrumledning,"<p>The course will provide students with theoretical and practical basis for understanding and interpreting the external changes that have implications for the management of shopping centers.</p><p>Center management in brief, Market analysis of retail centers, center management in practice, marketing and branding of retail centers and project work resulting in documented skills.</p> <ul><li>After completing module 1, Center Managementan Introduction the student should be able to describe the current industry standard for retail centers around the world and those trends that effect successful management of retail centers.</li><li>After completing module 2, Market Analysis and Retail Development the student should be able to apply market analysis theory to manage changes in demand and supply conditions having effect on the profitability of a retail center. The student will also have knowledge of critical factors that effects the development of a retail center.</li><li>After completing module 3, Center Management the student will be able to manage rental agreements and contractual issues, waste issues matters of security and key drivers for innovation in the retail industry.</li><li>After completing module 4, Asset Management the student will have skills in managing strategic business issues for retail centers. The student will be able to evaluate market valuations made by consultancy companies.</li><li>After completing module 5, Marketing and Branding the student will be able to make strategic marketing decisions. The student will also be capable in determine which marketing channels to use and when. The student should also be able to analyze, identify and describe customer’s touch-points in a retail center.</li><li>In completing module 6, Project Work the student shall prove his skills in applying the content of previous modules. This assignment shall be presented in a written report and by an oral presentation.</li></ul> <ul><li>PRO1 - Project Work, total 7.5 hp, grade scale: P, F.</li><li>TEN1-4 Four written exams, total 7.5 hp, grade scale: P, F: The examiner for each module decides pass or fail.</li><li>KTH is responsible issuing credits for the course and final certificate.</li></ul>"
FSK3340 - Fourieroptik,"<p>The overall aim of the course is that you should be able to analyze optical problems with the help of the approximations made in Fourier optics and develop simple numerical simulations for your systems.<br />This means that you should be able to:</p><ul><li>Describe the mathematical characteristics of the two dimensional Fourier transform and explain their relevance for the analysis of linear optical systems</li><li>Explain the basics of scalar diffraction theory</li><li>Analyze different solution methods for the Helmholtz equation</li><li>Apply the Fresnel and Fraunhofer approximation to calculate the diffraction patterns of standard optical components</li><li>Reflect on the physical implications of diffraction and their influence on the resolution in optical imaging systems</li><li>Develop and implement algorithms for numerical wavefield propagation</li></ul> <ul><li>Analysis of two-dimensional signals and systems</li><li>Foundations of scalar diffraction theory</li><li>Fresnel and Fraunhofer diffraction</li><li>Frequency analysis of optical imaging systems</li><li>Numerical methods for wave-field propagation</li></ul> <p>PRO1 – project presentation, 6,0 hp, grading: P/F</p>"
SF1861 - Optimeringslära,"<p>After completing the course students should for a passing grade be able to</p><ul><li>Apply basic theory, concepts and methods, within the parts of optimization theory described by the course content, to solve problems</li><li>Formulate simplified application problems as optimization problems and solve using software.</li><li>Read and understand mathematical texts about for example,  linear algebra, calculus and optimization and their applications, communicate mathematical reasoning and calculations in this area, orally and in writing in such a way that they are easy to follow.</li></ul><p>For higher grades the student should also be able to</p><ul><li>Explain, combine and analyze basic theory, concepts and methods within the parts of optimization theory described by the course content.</li></ul> <ul><li>Examples of applications of optimization and modelling training.</li><li>Basic concepts and theory for optimization, in particular theory for convex problems.</li><li>Linear algebra in Rn, in particular bases for the four fundamental subspaces corresponding to a given matrix, and LDLT-factorization of a symmetric positive semidefinite matrix.</li><li>Linear optimization, including duality theory.</li><li>Optimization of flows in networks.</li><li>Quadratic optimization with linear equality constraints.</li><li>Linear least squares problems, in particular minimum norm solutions.</li><li>Unconstrained nonlinear optimization, in particular nonlinear least squares problems.</li><li>Optimality conditions for constrained nonlinear optimization, in particular for convex problems.</li><li>Lagrangian relaxation.</li></ul> <p>The examiner decides, in consultation with KTHs Coordinator of students with disabilities (Funka), about any customized examination for students with documented,lastingdisability. The examiner may allow another form of examination for reexamination of individual students.</p>"
DH2628 - Metoder för interaktionsdesign,"<p>After completing the course, participants should be able to:</p><ul><li>apply adequate methods for the design of interactive systems in the different phases of exploration, conceptual design, prototyping and presentation,</li><li>with reference to academic research discuss how different design methods can support the process of generating successful technical solutions</li><li>demonstrate understanding of specific methods and their possibilities and limitations, given technologies, use contexts, and available resources in the project</li><li>independently select and use appropriate technical tools for the design of interactive systems</li></ul> <p>A series of design exercises, giving hands-on experience of established methods within the field of interaction design:</p><ul><li>methods for exploring a design space: studies of existing interactions, material and technology explorations, state of the art analysis, mood boards with users,</li><li>methods to support design judgment: interaction criticism, parallel design, personas, structured brainstorming,</li><li>methods for developing alternatives: scenarios, sketches, lo-fi prototypes, video prototypes, prototyping with modern software toolkits,</li><li>methods for composition and presentation: fine tuning and testing, rapid user evaluations, presenting a final design online using text, images and video.</li></ul><p>All exercises are performed in the context of concrete design projects conducted in groups of 2-3, in combination with individual assignments.</p> "
FSK3520 - Experimentella metoder i molekylär biofysik,"<p>This course covers different experimental biophysical methods, how they are used to study structures and dynamics of biomolecules and their interactions. It also gives an overview of how these biophysical techniques are used in practice in biotechnology, drug development and in fundamental academic research. After this course the students are expected to be able to:</p><ul><li>describe the main categories of biomolecules present in the human body, what their main functions are, and how they are built.</li><li>explain how interactions can take place between biomolecules and electromagnetic radiation</li><li>state what modern spectroscopic techniques that are used in molecular biophysics, and to explain the physical principles upon which these methods are based</li><li>Based on knowledge of the physical principles of the different biophysical techniques, judge and motivate which method(s) that is most appropriate to be applied to a particular biomolecular investigation.</li><li>Give an overview of how these methods are used in practice in biotechnology, drug development, clinical diagnostics and in fundamental academic research.</li><li>more specifically be able to judge what methods and in what way they can be applied/devleoped within the own area of research of the student.</li></ul> <p>Fundamental properties of biomolecules. Basic thermodynamics of biomolecules, biomolecular dynamics and interactions. The principles of the following methods: Infrared-, Fluorescence-, Nuclear Magnetic Resonance-, Electron Spin Resonance-, Circular Dichroism- and Raman-spectroscopy, Mass spectrometry, X-ray crystallography, Electron Microscopy, Surface Plasmon Resonance, Atomic Force Microscopy. An overview of applications of these techniques in fundamental academic research, in pharmaceutical and biotech industry, and for clinical diagnostics, and morespecifically within own area of research.</p> "
FDM3303 - Multisensorisk perception och tvärmodal interaktion,"<p>The course gives students basic theoretical and practical knowledge about the latest research findings in multisensory perception and cross-modal interaction.</p><p>The goal of the course is</p><ul><li>to gain relevant knowledge of the state-of-the-art in the research fields of multisensory perception and cross-modal interaction</li><li>to take into account relevant properties and issues related to multisensory perception and cross-modal interaction</li><li>to use the gained knowledge for identifying important issues related to perception in the design and evaluation of new technical solutions</li></ul> <p>The course's main content will be decided by the students together with the course coordinator, depending on the interests of the students. It will be based on a selection of book chapter from the course literature listed below, and on a selection of state-of-the-art publications in the field.</p> <p>The examination form will vary according to course content and student interest. Possible forms include for example a short research project, or a written overview of the literature in a specific area of multisensory perception and cross-modal interaction. Oral presentation is always part of the examination.</p>"
EL2820 - Modellering av dynamiska system,"<p>After passing the course, the student should be able to</p><ul><li>formulate basic theory and definitions of important concepts in mathematical modelling of dynamic systems</li><li>retrieve mathematical models for engineering systems based on fundamental physical relations and based on measurement data.</li></ul> <ul><li>model types</li><li>overview of different physical domains (physics, mechanics, electronics)</li><li>model simplification, differential-algebraic equations</li><li>systematic modelling methods</li><li>object-oriented modelling</li><li>disturbances and disturbance models</li><li>parameter estimation and statistical properties</li></ul> "
IL2225 - Hårdvarukonstruktion i ASIC och FPGA för inbyggda system,"<p>In this course students learn the logic/FSM and algorithm implementation as Embedded Hardware in a SOC Architecture realized as ASICs or FPGAs. The implementation methodology will be based on logic and high-level synthesis.This course will focus on logic and algorithm implementation as Embedded Hardware in a SOC Architecture realized as ASICs or FPGAs.</p><p>After taking this course, students are expected to know:</p><ul><li>Concepts of Abstraction, Domain, Synthesis and Analysis and classification of Synthesis Tools.</li><li>Implementation styles like Full Custom, Std Cells, Mask Programmable Gate Arrays and FPGA and comparison between them.</li><li>Coding styles for logic/FSM and Algorithms in HDL/C for efficient implementation and reuse.</li><li>An understanding of the architectural space that the logic/FSM and high-level synthesis tools consider and infer from the HDL/C code.</li><li>Area, Performance and Power optimisation options at logic/FSM and Algorithmic Level.</li><li>Technology and Optimisation constraints, their implications and use in logic/FSM and High Level Synthesis.</li><li>Libraries used in logic/FSM and High Level Synthesis.</li><li>Links to Physical Design space and estimating the implications of physical design while doing logic/FSM and Algorithmic Design.</li><li>Methods and concepts used to estimate/analyze the performance and power at logic/FSM and algorithmic level.</li><li>Hardware / Software Partitioning using accelerators.</li><li>Logic/FSM and High-Level Synthesis methodology.</li></ul> <ul><li>Essential concepts for logic/FSM and Algorithm implementation using automated design flows.</li><li>Logic/FSM Synthesis Synthesis concepts and design flow.</li><li>HDL coding styles for efficiency, simulation, timing, clock domain crossing and power and cogestion concious.</li><li>Technology and Optimisation Constraints and interace to foundary and back end physical synthesis flow.</li><li>Optimizing Designs for area, performance and power in Logic/FSM synthesis.</li><li>Static Timing Analysis.</li><li>High Level Synthesis concepts and design flow.</li><li>Scheduling, Allocation, Binding, Storage, Interconnect and Controller Synthesis.</li><li>Hardware accelerators.</li><li>Design Space Exploration.</li></ul> "
FMH3305 - Tillämpad termodynamik och kinetik,"<p>After passing the course, the student should be able to:</p><ul><li>Explain basic concepts in thermodynamic modeling.</li><li>Use thermodynamic relationships for solution phases (solid phases, liquids and gas phase).</li><li>Model these phases with simpler models and with the sublattice formalism (Compound Energy Formalism).</li><li>Illustrate the relationship between thermodynamic relations, Gibbs energy and phase diagrams.</li><li>Perform analytical and numerical calculations of thermodynamic problems.</li><li>Explain the basics of diffusion in binary and multicomponent systems.</li><li>Perform analytical and numerical calculations of diffusion-controlled phase transformations.</li><li>Combine thermodynamics and kinetics in problem solving.</li></ul> <ul><li>Thermodynamics for phase transformations.</li><li>Phase equilibria and phase diagrams (unary, binary and higher order systems).</li><li>Gibbs energy and driving force.</li><li>Modelling of solid substitutional and interstitial solutions, carbides, oxides and intermetallic phases.</li><li>Modelling of metallic liquids and slags.</li><li>Reference states and change of reference states and change of components.</li><li>Driving force for diffusion, thermodynamic factor and mobility.</li><li>Analytical and numerical methods for solving thermodynamic and kinetic problems.</li></ul> "
AI2607 - Markåtkomst och ersättning,"<p>The overall aim of the course is to give understanding of rules for the permission process as well as which compensation that should be paid when compulsory purchases or other limitation of dispositions of land and real property is realised.</p><p>At the end of the course the students are expected to be able to:</p><p>•  Explain why compulsory purchases can be legitimised.</p><p>•  Describe the contents of and in what situations different types of law shall be used.</p><p>•  Explain and compare the legislation’s different compensation principles.</p><p>•  Describe the conditions under which each compensation method can be applied and select relevant principles to obtain the solutions for valuation and compensation problems.</p><p>•  Explain different value concepts for real property and the relation between them.</p><p>•  Apply different compensation rules and principles and calculate the compensation in practical cases.</p><p>•  Identify the principles for compulsory acquisition and compensation in other legal systems from scientific literature and legislation and present the findings in a report.</p> <p>The course deals with legal frameworks that give public institutions, and sometimes also private people, the right to acquire land through compulsory purchase. The following main aspects will be dealt with in the course.</p><p>• Fundamental motives to permit compulsory purchases. Different situations where compulsory purchases can be realised. Effects if compulsory purchases should not be possible. Compensation rules from economic and legal points of view. Value concepts and their relevance in cases of compensation. Profit-sharing versus compensation for damage.</p><p>• Principles for the permission process; judicial or administrative handling of the permission process, material conditions for compulsory purchases and taking possession. Applicable legislation in different situations.</p><p>• Valuation problems in different compensation situations. Methods for estimation of compensation for encroachment and compulsory purchases.</p> "
HM1023 - Tillämpad mekanik,"<p>Over all objectives after studying this course, students will be able to:</p><ul><li>With basis of a problem make idealizations, with motivations set up a mechanical model.  With mathematical model and numerical methods analyze the model.  Interpret and critically examine the result. </li></ul><p>After the course, the participant should be able to:</p><ul><li>Formulate a mathematical model for a given problem, and analyze the model with the relevant mathematical methods and/or simulate these in a mathematical simulation software (Matlab)</li><li>Define boundary and initial conditions to simulate using mathematical simulation software or commercial multi body simulation program </li><li>Calculate forces and/or acceleration of simple Planar rigid-body problems</li><li>Assess the results of calculations or simulations</li></ul> <ul><li>Mechanics laws for particle systems </li><li>General Planar solid body mechanics </li><li>Coordinat transformation – accelerated reference system </li><li>Formulation of boundary and initial values, </li><li>Formulation of mathematical simulation models</li><li>Mass motion of inertia</li></ul> "
HE1032 - Elkraftteknik I,"<p>After the project course the student should know:</p><ul><li>The principles of electric power distribution to all parts of a society in a sustainable and environmentally sound way.</li><li>How to select electrical equipment e.g. for buildings, industries and transportation.</li><li>Specify e.g electric motors frequency converters, wiring and switches.</li><li>Use, maintain and troubleshoot electrical apparatus for transmission, distribution and use of electric energy.</li><li>The legislation and rules for electrical installations, in order to obtain safety and reliability.</li></ul> <p>The course consists of the following topics:</p><ul><li>Single phase and three-phase AC</li><li>Transformers</li><li>DC-machines</li><li>Induction machines</li><li>Phase compensation</li><li>Synchronous machines</li><li>Three-phase transmission</li><li>Short circuit power</li><li>Power electronics</li></ul> "
"MJ140X - Examensarbete inom maskinteknik, grundnivå","<p>After completion of the course the student should be able to:</p><ul><li>Formulate problems and apply methodology within the subjectarea of energy technology to search for and validate solutions</li><li>Apply knowledge and skills that have been achieved during the studies on problems within the field of energy techonolgy.</li><li>Plan his/her own work to achieve given partial objectives</li><li>Analyse the need of scientific information, perform literature survey and validate the found information</li><li>Present work in a written report with requirements on content, structure and language</li><li>Utilise references, figures, tables and equations at an acceptable level in a report</li><li>Write a summary in English with the correct use of the terminology within the subject area</li><li>Perform oral presentation with requirements on timeframe and clear language, perforamance and illustrations</li><li>Review and give comments on a technical work (opposition) and be able to meet corresponding viewpoints on his/her own work</li><li>Make assumptions and assess their validity through sensitivity analysis</li><li>Perform rought estimates to be able to validate models and assess their reasonableness</li></ul> <p>The course starts with a series of lectures to give the students background and knowledge in the field of Energy Technology. In beginning of the course the students also choose project to work with during the semester (the project proposals are supplied by the course instructors); and the project is supported by compulsory seminars throughout the course. Before each seminar the students need to hand in a written report and also prepare a oral presentation. The course leaders work as coaches supporting and giving feedback to the students: on their projects, their reports and their presentations. For the final seminar the students should also prepare an opposition on another group's work.</p><p>In each project/projectpart, the students work in groups of two persons.</p> "
EF2215 - Plasmafysik II,"<p>After completed course, the students should able to</p><ul><li>reproduce basic equations (as detailed in the syllabus) and explain the physical principles behind them</li><li>show command of short derivations and show understanding of principles behind longer derivations</li><li>give physical interpretation of the results of derivations</li></ul> <p>Klimontovich approach, spectral densities of fluctuations, kinetic Boltzmann equation and collision integrals, Fokker-Planck equation.</p><p>Wave particle interactions. Collision-free absorption mechanisms.</p><p>Scattering and transformation of transverse and longitudinal waves in plasmas. Radiation scattering as a noninvasive plasma diagnostic.</p> "
FKD3080 - Introduktionskurs i kristallografi,"<p>Acquisition of the following skills:</p><ul><li>Ability to describe fundamental crystallographic concepts</li><li>Ability to extract the relevant information from a crystallographic paper</li><li>Ability to find specific tools for solution of a given crystallographic problem</li></ul> <p>The course consists of two parts:</p><ol><li>A theoretical part, which is mainly based on own studies of the course literature. In addition, there will be an introductory lecture and some meetings with shorter lectures and an opportunity for questions and discussion</li><li>A practical part where single-crystal diffraction is used</li></ol> "
AI2102 - Marknadsanalys och fastighetsutveckling,"<p>The course should enable you to develop skills in methods for market analysis and development of housing and retail properties by:</p><ul><li>Identifying the criteria for determining the appropriate level of a market analysis.</li><li>Being able to determine if a site meets physical, regulatory and environmental requirements – the productivity analysis of the project.</li><li>Discuss the various theories or models of urban growth and how they relate to real estate market analysis.</li><li>Recognizing macro determinants in equilibrium, cyclical patterns in the real estate market and the relationship between the national business cycle and the local real estate cycle.</li><li>Being able to delineate a market area, as well as to identify and collect the market data needed to evaluate supply, demand and then quantify the market gap.</li><li>Analyzing the financial feasibility of the development measuring cash flows, costs, loans, profits, etc.</li></ul><p>Through case studies, the course should also enable you to identify stakeholders of real estate projects; developer, clients, local government, tax payers, special interest groups, etc. and each points view.</p> <p>Market analysis and development is an applied course in market analysis of housing and real estate markets from an international perspective, with special emphasis on the US and Swedish experiences. The aim of the course is to give you knowledge of theories behind the methods of market analysis used by real estate firms. The course will also help you to develop skills in methods for markets analysis. This course in market analysis and development will prepare you for work in the real estate field, within consultancy firms, institutional investors and building companies.</p> "
AK2012 - Individual fördjupningsuppgift i filosofi,"<p>The course is expected to give deeper knowledge within some particular area of philosophy selected jointly by the student and the teacher.</p> <p>At KTH, courses in several philosophical fields are offered. This course enables the student to gain deeper insights into any of these fields.</p> "
