Course Title,Course Description
FDH3363 - Forskningsmetoder i teknikstött lärande,"<p>After completing the course, the PhD-student will be able to:</p><p>● Analyse and critically examine chosen examples of TEL research studies from a methodological perspective.</p><p>● Understand the benefits and challenges of mixing methods.</p><p>● Plan and conduct data collection for a TEL-oriented research study that combines quantitative and qualitative approaches.</p><p>● Prepare data analysis and integration across methods.</p><p>● Improve methodological research skills in TEL empirically as well as theoretically.</p> <p>The pervasive integration of digital technology in education influences both teaching and learning practices, and allows access to data, mainly available from emerging online learning environments, that can be used to improve conditions for students’ learning and/or to improve teacher support. Increased access to previously unavailable digital learner data allows us to perform new types of analyses that aim to measure chosen learning and teaching activities objectively compared to the use of more traditional methods that are often based on learners’ and/or teachers’ perceived attitudes and/or observations. </p><p>To better understand how we can harness information and communications technologies to support learners and teachers in educational settings, a methodological shift is required in how we measure technology-enhanced learning (TEL). This shift proposes the use of mixed methods originating from various research fields, such as computer science, informatics and education. In this course, students will first be given an opportunity to analyse and criticise chosen examples of TEL research studies from a methodological perspective. Second, benefits and challenges of mixed methods approaches in TEL research will be discussed and problematized. Third, students will be introduced to chosen mixed methods approaches, including design-based methods as well as emerging learning analytics research methods. These research methods will be taught theoretically, analytically and through practical exercises, where relevant to the PhD students’ research interests methods will be applied. In this course, students will plan and implement data collection for a TEL-focused research study that is relevant to their own PhD projects and that employs a mixed-method approach. Finally, students will be expected to prepare data analysis and integration across chosen methods. Overall, the course aims to support PhD students in the development of their empirical and theoretical methodological research skills needed to perform rigorous TEL-oriented research.</p> <p>To complete the course, students must:</p><p>● Read the literature and actively participate in the discussion seminars.</p><p>● Actively participate in the practical exercises.</p><p>● Plan and implement data collection for a TEL-oriented research study relevant to its own PhD project.</p><p>● Plan for data analysis and integration of the chosen mixed methods in the study.</p><p>● Deliver a paper that presents the conducted in this course TEL-oriented research study, which employs a relevant mixed-method approach.</p><p>After completing the course, the student will know how to plan, implement and analyse a TEL-oriented research study, which employs a mixed method approach. The students will know about opportunities and challenges which might appear when performing TEL research. Moreover, the students will know about available methods and toolkits that are relevant for TEL researchers.</p>"
FAI3027 - Forskning och teoribildning inom företagsekonomi,"<p>After the course, the participant should be able to show a good understanding of theories from different subfields of business administration. Furthermore, participants should be able to analyze and compare different theories. Finally, participants should be able to present orally and in writing their analysis of the different theories, and how they relate to their own research.</p> <p>The course are divided into the five major strands of research within business administration; accounting, entrepreneurship, marketing, organization and strategic management. In each subfield the most important theories will be presented and analyzed</p> "
ME2085 - Omvandling av energisystem och energirelaterad industri,"<p>After completing the course, students are intended to be able to:</p><ol><li>empirically analyse business models in relation to energy systems and/or energy industries,</li><li>explain the diffusion of innovation in relation to energy systems and/or energy industries and their role for energy transitions,</li><li>discuss the mechanisms that underlie industrial transformations and technical changes and their implications in relation to energy systems and/or energy industries,</li><li>evaluate theoretical concepts and current research from the field of industrial dynamics for managing technological and industrial change processes in relation to energy systems and/or energy industries,</li><li>analyse industrial and technological change and independently discuss problem formulations and their solutions to tackle complex change in energy systems and/or energy industries,</li><li>present results and conclusions based on a scientific investigation for different types of audiences (e.g. academia, business).</li></ol> <p>The course deals with the challenges and opportunities that drive transformations of energy systems and energy-related industries. This includes discussing the relevance of global challenges like climate change and sustainable development and analyzing how they contribute to transformations of energy systems and industries.</p><p>The course contains a series of lectures with an in-depth review and analysis of the drivers of transformations of energy systems and energy-related industries, as well as the mechanism of these changes from an economic, socio-technical, political and environmental perspective.</p><p>The course includes lectures on the theories and concepts for understanding energy systems and energy industries in transition, on the role of energy businesses for managing these transitions, energy-related innovation and the diffusion of innovation, business models, energy markets and the introduction of renewable energy.</p><p>The course contains an individual essay and group work. Throughout the course you will be provided with tools to carry out these assignments. In the project, and during seminars, focus will be on critical review and evaluation of the applicability of the theoretical concepts from the field of industrial dynamics for managing and leading technological and industrial change in the energy sector (energy systems and energy-related industries).</p> "
FSK3523 - Avancerad molekyldynamik,"<p>After completion of the course, the student should be able to:</p><ul><li>set up simulations of liquids, polymers and proteins</li><li>analyze structural and dynamic properties</li><li>assess the quality of sampling and be aware of methods to improve sampling</li><li>set up free energy calculations</li><li>apply systematic coarse-graining</li></ul> <p>This course treats advanced molecular dynamics (MD) methodology for classical simulations of liquids, polymers and proteins. MD simulations provide atomistically detailed information on structural and dynamic quantities, but often at a high computational cost. As vibrations of atoms need to be captured, time steps are in the order of femtoseconds, whereas the time scales of interest are often in the microsecond to second range. This has three main implications. Efficient software and hardware is required, using for instance stream computing (on e.g. GPUs). You always need to carefully check the convergence of properties of interest. And if convergence can not be reached, you might need to use methods to improve sampling, such as free energy calculations and coarse-graining. These topics will be covered in lectures, reading of literature and computer labs.</p> "
SH2705 - Kompakt reaktorsimulator- övningar i reaktorkinetik och reaktordynamik,"<p>Nuclear reactor power plants are very complex systems that may go through various transients during normal and accident situations. This course is designed to simulate the transients and explain their nature. The power plant simulations are based on Apros - the process simulation software for nuclear and thermal power plant applications.</p><p>After the course, students will be able to:</p><ul><li> <p>describe various design bases and beyond design bases accidents,</p></li><li> <p>explain the behavior of the nuclear reactor and the power plant during normal operation and the transients,</p></li><li> <p>explain the effect of various feedbacks in the nuclear reactor and the power plant during the transients,</p></li><li> <p>recognize the cause of a complex transient, and take an appropriate action.</p></li></ul>  "
FSG3031 - Aktuella problem i mekaniken II,"<p>The student will get new knowledge in specialized current topics in mechanics and / or develop the ability to critically review scientific articles in mechanics.</p> <p>This is a course with open content which may be specific for each student separately. It is used to gain credits from, e.g. a continual participation in a group reviewing current scientific articles in the area of mechanics, a ""journal club"", or a participation in a summer school class on topics in mechanics given by invited speakers, or participation in other advanced lecture series not covered by already registered program courses.</p> <p>Passed RAP1, Report 4,5 hp (P, F)</p>"
FAG3109 - Visualisering av geoinformation,"<p>The major objective of this course is to learn principles of cartography and techniques for effective visualization of geographic data. On the completion of this course, students should be able to design analogue and digital cartographic products using an existing geographic information system, and to gain critical thinking skills essential to avoid being misled by cartographic products.</p> <p>Map symbols</p><p>- Visual variables: spacing, size, orientation, shape, arrangement, height, hue, value, saturation.</p><p>- Data classification</p><p>- Topographic and thematic map design and symbolization</p><p>- Map design for presentation, synthesis, analysis and exploration of spatial data</p><p>- Exploratory data analysis, graphical data analysis techniques</p><p>- 2D, 2.5D, and 3D data and their representation</p><p>- Temporal data and their representation</p> "
FDD3372 - Automater och språk,"<p>The general the aim of the course is to give the doctoral students a deep understanding of calculation and efficient computability through the abstract concept of automata and the languages that they know of. At the same time, the doctoral students will get familiar with the important concepts of state, non-determinism and minimization.</p> <p>Finite automata, stack automata and Turing machines, and the important related language classes of regular and context free languages. The relation between automata and language is established by means of different transformations. The language classes are characterised by some classical theorems as Myhill-Nerode's theorem and Chomsky-Schützenberger's theorem.</p> "
FAI3017 - Ämnen inom bostads- och fastighetsekonomi,"<p>The aim of the course is that the student should broaden their knowledge and also training in presentations of a scientific paper.</p> <p>In the course the student shall actively participate in at least 15 seminars at the department, or similar if the student is located at another university, and also present at the seminar at least 2 times.</p> <p>Active participation and presentations.</p>"
SA1007 - Ingenjörsrollen och ingenjörskunskap,"<p>On completion of the course, the student should be able to</p><ul><li>be able to make informed choices both during the study period and beyond</li><li>critically review and reflect on the role of the engineer in a sustainable society</li><li>account for the main features of the science theory and technology history</li><li>identify and discuss ethical occupational problems</li><li>plan and implement projects in a group</li><li>document and present their work both in writing and orally</li><li>reflect on their own learning and identify their need for further knowledge</li></ul> <p>Study technique, self-responsibility, self-development during a career, self-reflection, communication skills.</p> "
FAG3112 - Spatial analys,"<p>The course is designed to introduce the principles of spatial analysis and advanced concepts/techniques which are used to explore, analyze and model geospatial data.</p><p>Spatial analysis is the crux of GIS: the means of adding value to geospatial data, and turning data into information. Therefore, the goals of this course are 1) to teach students the fundamental concepts and advanced techniques of spatial analysis in lectures, 2) to allow students to experience these concepts and apply these techniques to solve realistic model problems in laboratory exercises, and 3) to develop deaper understanding for these concepts and techniques by critically evaluating prominent related scientific articles in seminars. In addition to enforcing concepts and techniques, the laboratory work and seminar will also prepare students to design, undertake, and critically evaluate GIS projects, and the seminars will strengthen the students' public speaking skills as they present scientific articles to their peers and will improve the students' scientific comprehension, design, presentation, and writing skills as they read, summarize, and review the seminar articles.</p> <p>Cartographic modeling & Multi-Criteria Evaluation (MCE)</p><p>Point pattern analysis</p><p>Geostatistics, interpolation and Geographically Weighted Regression (GWR)</p><p>Space syntax and urban morphology</p><p>Cellular automata and agent-based modeling</p><p>Spatial, spatio-temporal and trajectory data mining</p> "
FAK3144 - Introduktion till forskningsprocessen,"<p>Following the course, the student should have attained basic knowledge and skills in:</p><p>- Searching for literature and source material.</p><p>- Formulating relevant and fruitful research questions.</p><p>- Writing a memo for a PhD project.</p><p>- Critically review, evaluate and give feedback.</p><p>The student should also be familiar with the structure and functions of academia, its institutions and disciplines, understand the requirements of a doctoral thesis, have obtained reflexive understanding of doctoral studies, academic research, and comprehended the formal administrative structure and regulations of KTH. Furthermore, students should learn the basic methods of archival research, oral history, and other research tools commonly used in history of science, technology and environment.</p> <p>The course provides a comprehensive and reflexive introduction to graduate education and academic life. Seminars and lectures include topics as (1)  practical and formal aspects of financing and examination; (2) experiences of former PhD students and supervisors; (3) literature search and publishing; (4) academic writing and referencing; (5) ways of writing and presenting a doctoral thesis and a scholarly paper; (6) the academic milieu and the university as an institution; (7) the humanities and the research system as well as ethics. The main content also includes basic skills in archival research, oral history and other research tools commonly used in history of science, technology and environment. All students will develop a thesis memo during the course and have the opportunity to give and receive feedback on these.</p> <p>In order to pass the course the student should have attended and actively taken part in at least 80% of the seminars and presented several comments on the literature orally and in written form. The student must also present a thesis memo at the Division higher seminar and held a seminar opposition of another student’s thesis memo.</p>"
